from_stop_id,to_stop_id,transfer_type,min_transfer_time
1477,1393,0,
1477,1477,0,
10415,1709,2,120
10415,2742,2,120
10415,1482,2,120
10415,1387,2,120
8396,8396,0,
666,704,0,
666,665,0,
666,666,0,
666,1198,0,
79,2736,2,300
235,8074,0,
235,235,0,
235,8043,0,
10814,10352,0,
10814,10363,0,
778,2120,2,420
778,779,2,480
778,857,2,420
778,9052,2,480
1147,785,2,360
1151,1355,0,
1151,1307,2,360
1152,1575,0,
1153,1153,0,
668,11623,0,
668,669,0,
1156,1156,0,
1156,1071,0,
1156,1070,0,
1160,1187,0,
1160,1648,0,
1160,1160,0,
1160,1186,0,
6146,6222,0,
6146,6223,0,
6146,6146,0,
6139,8854,0,
6139,6195,2,120
6139,5543,2,120
6139,6088,2,120
6139,6174,0,
6139,5436,0,
6139,11704,2,480
6194,6466,0,
6194,10437,0,
11270,11288,0,
11270,11289,0,
11270,11253,0,
11270,11246,0,
11270,11267,2,120
11270,11269,0,
11270,11268,0,
11270,11256,0,
11270,11250,0,
11270,11248,0,
11270,11788,0,
11270,11266,0,
6050,10150,2,360
6050,10148,2,420
6050,9547,2,420
9547,9524,0,
9547,6050,2,420
11075,6051,0,
11075,9023,0,
6073,11123,0,
6073,11124,0,
9635,9635,0,
10891,10888,2,120
10891,10889,2,120
10891,10890,0,
10891,10885,2,120
10891,10887,0,
10891,10892,0,
10891,10886,2,120
11029,11029,0,
7699,10516,0,
7699,10215,0,
9683,9684,0,
9683,9854,0,
9683,9683,0,
7703,7861,0,
7703,7685,0,
7703,7703,0,
7707,10345,0,
11940,11941,2,120
11940,8020,2,120
11940,8033,2,120
11940,10860,2,120
11940,12022,2,120
11940,12020,2,120
11940,12231,0,
11940,12230,0,
11940,11942,2,120
11940,3217,2,480
11940,3181,2,600
11940,11940,2,120
3181,8020,2,480
3181,8033,0,
3181,10860,0,
3181,12231,2,480
3181,12230,2,480
3181,11942,2,600
3181,3217,0,
3181,3181,0,
11198,3215,0,
3184,3184,0,
3317,11827,2,300
3317,3317,0,
9643,9643,0,
11827,11827,0,
11827,3317,0,
11827,11308,2,300
3221,3221,0,
3394,3906,2,120
3394,3334,0,
3394,7643,2,120
3394,8021,2,120
3394,8032,2,120
3394,8998,2,120
3394,3927,0,
3394,3904,0,
3394,3769,0,
3394,3533,0,
3394,3204,2,120
3394,3067,0,
3394,3195,2,120
3394,3053,2,120
3394,12235,0,
3394,12234,0,
3394,3394,0,
11259,11308,0,
3214,3214,0,
3215,3215,0,
3215,11198,0,
3217,11941,2,480
3217,8033,0,
3217,10860,0,
3217,12231,2,480
3217,12230,2,480
3217,11942,2,600
3217,3217,0,
3217,3181,0,
3218,3218,0,
3219,3219,0,
3943,9179,0,
3943,9325,0,
3943,3943,0,
3944,9179,2,360
3944,3944,0,
3333,3314,0,
3333,3954,0,
10132,3975,0,
10132,3198,0,
10132,3784,0,
3973,12028,0,
4224,4061,0,
4224,4830,0,
4224,4224,0,
11708,11678,2,300
4504,4517,0,
4504,4504,0,
4505,4516,0,
4505,4505,0,
4191,4243,0,
4191,4301,0,
4191,4191,0,
4517,4517,0,
4517,4504,0,
6578,6482,0,
6578,6578,0,
11243,11295,2,300
11243,6607,2,360
11243,6512,2,420
11243,6753,0,
11243,11707,2,300
11243,6610,2,480
11243,6541,2,420
11243,2092,2,480
11243,11243,0,
2092,11295,2,420
2092,8650,2,300
2092,6607,2,360
2092,6512,2,300
2092,6753,2,420
2092,6610,2,360
2092,6541,0,
2092,2092,2,180
2092,11243,2,420
4154,4154,0,
9342,3281,0,
9342,3277,0,
9339,9338,0,
9339,9339,0,
9339,9344,0,
9480,9479,0,
9480,9480,0,
9433,9433,0,
4371,4218,0,
4371,4065,0,
4341,4342,0,
4347,4347,0,
4360,4569,2,300
4360,4560,2,480
4295,4249,0,
4295,4295,0,
4296,4248,0,
4297,4247,0,
9477,9477,0,
10882,4018,0,
10882,4228,0,
10882,10879,0,
10882,10882,0,
4239,4231,0,
4239,4239,0,
10879,4018,0,
10879,4228,2,300
10879,10879,0,
10879,10882,0,
4045,4045,0,
4015,4055,0,
4015,4015,0,
4016,4054,0,
4381,451,2,120
4381,452,2,120
4381,1775,2,120
4381,10873,2,120
4381,4143,2,120
4381,4119,2,120
4381,4067,2,120
4381,4163,2,120
4381,1761,2,120
4381,4474,2,120
4355,8605,0,
4355,4355,0,
4301,4514,0,
